Period,FX
31-Jan-90,1.172
28-Feb-90,1.1965
31-Mar-90,1.18
30-Apr-90,1.1641
31-May-90,1.1747
30-Jun-90,1.173
31-Jul-90,1.157
31-Aug-90,1.1448
30-Sep-90,1.1583
31-Oct-90,1.16
30-Nov-90,1.1635
31-Dec-90,1.1603
31-Jan-91,1.156
28-Feb-91,1.1549
31-Mar-91,1.1572
30-Apr-91,1.1535
31-May-91,1.1499
30-Jun-91,1.1439
31-Jul-91,1.1493
31-Aug-91,1.1452
30-Sep-91,1.137
31-Oct-91,1.1279
30-Nov-91,1.1302
31-Dec-91,1.1467
31-Jan-92,1.1571
29-Feb-92,1.1825
31-Mar-92,1.1928
30-Apr-92,1.1874
31-May-92,1.1991
30-Jun-92,1.196
31-Jul-92,1.1924
31-Aug-92,1.1907
30-Sep-92,1.2225
31-Oct-92,1.2453
30-Nov-92,1.2674
31-Dec-92,1.2725
31-Jan-93,1.2779
28-Feb-93,1.2602
31-Mar-93,1.2471
30-Apr-93,1.2621
31-May-93,1.2698
30-Jun-93,1.2789
31-Jul-93,1.282
31-Aug-93,1.308
30-Sep-93,1.3215
31-Oct-93,1.3263
30-Nov-93,1.3174
31-Dec-93,1.3308
31-Jan-94,1.3172
28-Feb-94,1.3424
31-Mar-94,1.3644
30-Apr-94,1.383
31-May-94,1.3808
30-Jun-94,1.3836
31-Jul-94,1.3826
31-Aug-94,1.3783
30-Sep-94,1.354
31-Oct-94,1.3503
30-Nov-94,1.3647
31-Dec-94,1.3893
31-Jan-95,1.4132
28-Feb-95,1.4005
31-Mar-95,1.4077
30-Apr-95,1.3762
31-May-95,1.3609
30-Jun-95,1.3775
31-Jul-95,1.3612
31-Aug-95,1.3552
30-Sep-95,1.3509
31-Oct-95,1.3458
30-Nov-95,1.3534
31-Dec-95,1.3693
31-Jan-96,1.3669
29-Feb-96,1.3752
31-Mar-96,1.3656
30-Apr-96,1.3592
31-May-96,1.3692
30-Jun-96,1.3658
31-Jul-96,1.3697
31-Aug-96,1.3722
30-Sep-96,1.3694
31-Oct-96,1.3508
30-Nov-96,1.3381
31-Dec-96,1.3622
31-Jan-97,1.3494
28-Feb-97,1.3556
31-Mar-97,1.3725
30-Apr-97,1.3942
31-May-97,1.3804
30-Jun-97,1.3843
31-Jul-97,1.3775
31-Aug-97,1.3905
30-Sep-97,1.3872
31-Oct-97,1.3869
30-Nov-97,1.4128
31-Dec-97,1.4271
31-Jan-98,1.4409
28-Feb-98,1.4334
31-Mar-98,1.4166
30-Apr-98,1.4298
31-May-98,1.4452
30-Jun-98,1.4655
31-Jul-98,1.4869
31-Aug-98,1.5346
30-Sep-98,1.5218
31-Oct-98,1.5452
30-Nov-98,1.5404
31-Dec-98,1.5433
31-Jan-99,1.5192
28-Feb-99,1.4971
31-Mar-99,1.5175
30-Apr-99,1.4874
31-May-99,1.4619
30-Jun-99,1.469
31-Jul-99,1.4885
31-Aug-99,1.4924
30-Sep-99,1.4768
31-Oct-99,1.4775
30-Nov-99,1.4676
31-Dec-99,1.4731
