Period,$,Product,Production_Unit,Cost_Element
Jan-03,"592,434 ",6231,3 ,56
Feb-03,"372,707 ",6231,3 ,56
Mar-03,"516,708 ",6231,3 ,56
Apr-03,"409,556 ",6231,3 ,56
May-03,"351,604 ",6231,3 ,56
Jun-03,"517,026 ",6231,3 ,56
Jul-03,"532,370 ",6231,3 ,56
Aug-03,"541,058 ",6231,3 ,56
Sep-03,"552,311 ",6231,3 ,56
Oct-03,"631,062 ",6231,3 ,56
Nov-03,"552,598 ",6231,3 ,56
Dec-03,"464,820 ",6231,3 ,56
Jan-04,"478,115 ",6231,3 ,56
Feb-04,"409,337 ",6231,3 ,56
Mar-04,"427,324 ",6231,3 ,56
Apr-04,"497,580 ",6231,3 ,56
May-04,"573,741 ",6231,3 ,56
Jun-04,"500,010 ",6231,3 ,56
Jul-04,"341,104 ",6231,3 ,56
Aug-04,"411,698 ",6231,3 ,56
Sep-04,"380,266 ",6231,3 ,56
Oct-04,"521,506 ",6231,3 ,56
Nov-04,"455,567 ",6231,3 ,56
Dec-04,"407,762 ",6231,3 ,56
Jan-05,"419,383 ",6231,3 ,56
Feb-05,"387,014 ",6231,3 ,56
Mar-05,"411,325 ",6231,3 ,56
Apr-05,"322,732 ",6231,3 ,56
May-05,"479,157 ",6231,3 ,56
Jun-05,"307,444 ",6231,3 ,56
Jul-05,"388,105 ",6231,3 ,56
Aug-05,"336,832 ",6231,3 ,56
Sep-05,"315,495 ",6231,3 ,56
Oct-05,"306,701 ",6231,3 ,56
Nov-05,"466,987 ",6231,3 ,56
Dec-05,"555,330 ",6231,3 ,56
Jan-06,"452,858 ",6231,3 ,56
Feb-06,"539,219 ",6231,3 ,56
Mar-06,"466,538 ",6231,3 ,56
Apr-06,"472,070 ",6231,3 ,56
May-06,"432,527 ",6231,3 ,56
Jun-06,"482,823 ",6231,3 ,56
Jul-06,"340,985 ",6231,3 ,56
Aug-06,"450,917 ",6231,3 ,56
Sep-06,"273,395 ",6231,3 ,56
Oct-06,"262,365 ",6231,3 ,56
Nov-06,"289,870 ",6231,3 ,56
Dec-06,"344,661 ",6231,3 ,56
Jan-07,"275,606 ",6231,3 ,56
Feb-07,"239,735 ",6231,3 ,56
Mar-07,"306,885 ",6231,3 ,56
Apr-07,"156,503 ",6231,3 ,56
May-07,"196,223 ",6231,3 ,56
Jun-07,"182,954 ",6231,3 ,56
Jul-07,"237,535 ",6231,3 ,56
Aug-07,"149,976 ",6231,3 ,56
Sep-07,"107,054 ",6231,3 ,56
Oct-07,"101,244 ",6231,3 ,56
Nov-07,"8,806 ",6231,3 ,56
Dec-07,"40,516 ",6231,3 ,56
Jan-08,"44,379 ",6231,3 ,56
Feb-08,"13,011 ",6231,3 ,56
Mar-08,"126,996 ",6231,3 ,56
Apr-08,"204,305 ",6231,3 ,56
May-08,"301,916 ",6231,3 ,56
