Period,Production_Volume,Product,Production_Unit,Cost_Element
Jan-03,"21,151 ",6231,3 ,56
Feb-03,"16,859 ",6231,3 ,56
Mar-03,"25,281 ",6231,3 ,56
Apr-03,"17,211 ",6231,3 ,56
May-03,"15,594 ",6231,3 ,56
Jun-03,"17,851 ",6231,3 ,56
Jul-03,"19,322 ",6231,3 ,56
Aug-03,"20,406 ",6231,3 ,56
Sep-03,"18,336 ",6231,3 ,56
Oct-03,"22,007 ",6231,3 ,56
Nov-03,"24,405 ",6231,3 ,56
Dec-03,"19,921 ",6231,3 ,56
Jan-04,"21,374 ",6231,3 ,56
Feb-04,"16,164 ",6231,3 ,56
Mar-04,"19,234 ",6231,3 ,56
Apr-04,"20,248 ",6231,3 ,56
May-04,"21,725 ",6231,3 ,56
Jun-04,"19,323 ",6231,3 ,56
Jul-04,"18,697 ",6231,3 ,56
Aug-04,"15,988 ",6231,3 ,56
Sep-04,"16,260 ",6231,3 ,56
Oct-04,"25,765 ",6231,3 ,56
Nov-04,"22,072 ",6231,3 ,56
Dec-04,"19,199 ",6231,3 ,56
Jan-05,"18,184 ",6231,3 ,56
Feb-05,"17,441 ",6231,3 ,56
Mar-05,"19,126 ",6231,3 ,56
Apr-05,"15,809 ",6231,3 ,56
May-05,"20,513 ",6231,3 ,56
Jun-05,"13,538 ",6231,3 ,56
Jul-05,"18,496 ",6231,3 ,56
Aug-05,"14,814 ",6231,3 ,56
Sep-05,"14,411 ",6231,3 ,56
Oct-05,"15,068 ",6231,3 ,56
Nov-05,"22,470 ",6231,3 ,56
Dec-05,"23,292 ",6231,3 ,56
Jan-06,"20,676 ",6231,3 ,56
Feb-06,"24,144 ",6231,3 ,56
Mar-06,"22,417 ",6231,3 ,56
Apr-06,"21,816 ",6231,3 ,56
May-06,"19,449 ",6231,3 ,56
Jun-06,"23,840 ",6231,3 ,56
Jul-06,"17,162 ",6231,3 ,56
Aug-06,"16,477 ",6231,3 ,56
Sep-06,"15,829 ",6231,3 ,56
Oct-06,"12,959 ",6231,3 ,56
Nov-06,"17,854 ",6231,3 ,56
Dec-06,"20,666 ",6231,3 ,56
Jan-07,"16,166 ",6231,3 ,56
Feb-07,"10,340 ",6231,3 ,56
Mar-07,"19,230 ",6231,3 ,56
Apr-07,"11,134 ",6231,3 ,56
May-07,"14,619 ",6231,3 ,56
Jun-07,"11,395 ",6231,3 ,56
Jul-07,"16,845 ",6231,3 ,56
Aug-07,"8,287 ",6231,3 ,56
Sep-07,"5,035 ",6231,3 ,56
Oct-07,"6,196 ",6231,3 ,56
Nov-07,606 ,6231,3 ,56
Dec-07,"2,877 ",6231,3 ,56
Jan-08,"3,085 ",6231,3 ,56
Feb-08,790 ,6231,3 ,56
Mar-08,"10,003 ",6231,3 ,56
Apr-08,"11,768 ",6231,3 ,56
May-08,"16,827 ",6231,3 ,56
Jun-08,"13,383 ",6231,3 ,56
Jul-08,"17,069 ",6231,3 ,56
Aug-08,"10,470 ",6231,3 ,56
Sep-08,"8,601 ",6231,3 ,56
Oct-08,"8,533 ",6231,3 ,56
Nov-08,"12,825 ",6231,3 ,56
Dec-08,"4,325 ",6231,3 ,56
Jan-09,"7,508 ",6231,3 ,56
Feb-09,"5,592 ",6231,3 ,56
Mar-09,"12,903 ",6231,3 ,56
Apr-09,"13,335 ",6231,3 ,56
May-09,"19,126 ",6231,3 ,56
Jun-09,"21,552 ",6231,3 ,56
Jul-09,"19,071 ",6231,3 ,56
Aug-09,"17,909 ",6231,3 ,56
Sep-09,"12,860 ",6231,3 ,56
Oct-09,"11,147 ",6231,3 ,56
Nov-09,"20,808 ",6231,3 ,56
Dec-09,"18,299 ",6231,3 ,56
Jan-10,"11,453 ",6231,3 ,56
Feb-10,"14,988 ",6231,3 ,56
Mar-10,"11,810 ",6231,3 ,56
Apr-10,"14,767 ",6231,3 ,56
May-10,"16,510 ",6231,3 ,56
Jun-10,"17,486 ",6231,3 ,56
Jul-10,"15,797 ",6231,3 ,56
Aug-10,"12,293 ",6231,3 ,56
Sep-10,"14,628 ",6231,3 ,56
Oct-10,"14,947 ",6231,3 ,56
Nov-10,"17,342 ",6231,3 ,56
Dec-10,"11,813 ",6231,3 ,56
Jan-11,"17,369 ",6231,3 ,56
Feb-11,"16,932 ",6231,3 ,56
Mar-11,"16,698 ",6231,3 ,56
Apr-11,"19,202 ",6231,3 ,56
May-11,"17,625 ",6231,3 ,56
Jun-11,"14,164 ",6231,3 ,56
Jul-11,"17,077 ",6231,3 ,56
Aug-11,"18,706 ",6231,3 ,56
Sep-11,"10,131 ",6231,3 ,56
Oct-11,"12,846 ",6231,3 ,56
Nov-11,"16,777 ",6231,3 ,56
Dec-11,"18,226 ",6231,3 ,56
Jan-12,"17,761 ",6231,3 ,56
Feb-12,"21,737 ",6231,3 ,56
Mar-12,"19,631 ",6231,3 ,56
Apr-12,"20,249 ",6231,3 ,56
